
==================================================================
| IO Statistics                                                  |
|                                                                |
| Duration: 300.408637 secs                                      |
| Interval:   1 secs                                             |
|                                                                |
| Col 1: tcp                                                     |
|     2: tcp.analysis.lost_segment                               |
|     3: tcp.analysis.retransmission                             |
|----------------------------------------------------------------|
|            |1                |2               |3               |
| Interval   | Frames |  Bytes | Frames | Bytes | Frames | Bytes |
| 213 <> 214 |      5 |    436 |      0 |     0 |      0 |     0 |
| 214 <> 215 |      0 |      0 |      0 |     0 |      0 |     0 |
| 215 <> 216 |      3 |    250 |      0 |     0 |      0 |     0 |
| 216 <> 217 |      2 |    132 |      0 |     0 |      0 |     0 |
| 217 <> 218 |      8 |   1050 |      0 |     0 |      0 |     0 |
| 218 <> 219 |      2 |    132 |      0 |     0 |      0 |     0 |
| 219 <> 220 |      3 |    286 |      0 |     0 |      0 |     0 |
| 220 <> 221 |     10 |    776 |      0 |     0 |      0 |     0 |
| 221 <> 222 |      4 |    525 |      0 |     0 |      0 |     0 |
| 222 <> 223 |      2 |    132 |      0 |     0 |      0 |     0 |
| 223 <> 224 |      2 |    132 |      0 |     0 |      0 |     0 |
| 224 <> 225 |     12 |    792 |      0 |     0 |      0 |     0 |
| 225 <> 226 |      0 |      0 |      0 |     0 |      0 |     0 |
| 226 <> 227 |      6 |    396 |      0 |     0 |      0 |     0 |
| 227 <> 228 |      0 |      0 |      0 |     0 |      0 |     0 |
| 228 <> 229 |      7 |    568 |      0 |     0 |      0 |     0 |
| 229 <> 230 |      0 |      0 |      0 |     0 |      0 |     0 |
| 230 <> 231 |      2 |    132 |      0 |     0 |      0 |     0 |
| 231 <> 232 |      4 |    322 |      0 |     0 |      0 |     0 |
| 232 <> 233 |      9 |   1098 |      0 |     0 |      0 |     0 |
| 233 <> 234 |      0 |      0 |      0 |     0 |      0 |     0 |
| 234 <> 235 |     15 |   1238 |      0 |     0 |      0 |     0 |
| 235 <> 236 |      3 |    250 |      0 |     0 |      0 |     0 |
| 236 <> 237 |      3 |    459 |      0 |     0 |      0 |     0 |
| 237 <> 238 |     12 |   1011 |      3 |   198 |      0 |     0 |
| 238 <> 239 |     17 |   2332 |      3 |   198 |      0 |     0 |
| 239 <> 240 |      0 |      0 |      0 |     0 |      0 |     0 |
| 240 <> 241 |      8 |    674 |      0 |     0 |      0 |     0 |
| 241 <> 242 |    102 | 130877 |      0 |     0 |      0 |     0 |
| 242 <> 243 |      5 |    403 |      0 |     0 |      0 |     0 |
| 243 <> 244 |     20 |   2263 |      0 |     0 |      0 |     0 |
| 244 <> 245 |      0 |      0 |      0 |     0 |      0 |     0 |
| 245 <> 246 |      3 |    256 |      0 |     0 |      0 |     0 |
| 246 <> 247 |      3 |    256 |      0 |     0 |      0 |     0 |
| 247 <> 248 |      8 |   1050 |      0 |     0 |      0 |     0 |
| 248 <> 249 |      4 |    264 |      0 |     0 |      0 |     0 |
| 249 <> 250 |      3 |    286 |      0 |     0 |      0 |     0 |
| 250 <> 251 |      1 |     66 |      0 |     0 |      0 |     0 |
