Interval,toatl_packet,Loss_packet,Loss_Bytes,Retrans_Frames,Retrans_Bytes,Throughput_Bytes_per_sec,loss_percent,loss_percent2
162-163,5,0,0,0,0,382.0,0.0,0.0
163-164,15,0,0,0,0,2171.0,0.0,0.0
164-165,27,0,0,2,132,5287.0,0.0,7.4074074074074066
165-166,34,2,3028,2,132,18480.0,5.88235294117647,11.76470588235294
166-167,28,0,0,0,0,3649.0,0.0,0.0
167-168,29,1,150,0,0,4096.0,3.4482758620689653,3.4482758620689653
168-169,24,1,150,0,0,4259.0,4.166666666666666,4.166666666666666
169-170,21,1,190,0,0,2846.0,4.761904761904762,4.761904761904762
170-171,15,0,0,0,0,2354.0,0.0,0.0
171-172,113,2,202,0,0,22049.0,1.7699115044247788,1.7699115044247788
172-173,76,1,105,1,105,19700.0,1.3157894736842104,2.631578947368421
173-174,40,1,142,0,0,12169.0,2.5,2.5
174-175,44,1,150,0,0,7378.0,2.272727272727273,2.272727272727273
175-176,25,0,0,0,0,3131.0,0.0,0.0
176-177,18,0,0,0,0,2604.0,0.0,0.0
177-178,22,1,150,0,0,2952.0,4.545454545454546,4.545454545454546
178-179,37,1,150,0,0,4320.0,2.7027027027027026,2.7027027027027026
179-180,41,2,484,0,0,5787.0,4.878048780487805,4.878048780487805
180-181,17,0,0,0,0,2218.0,0.0,0.0
181-182,40,0,0,0,0,13170.0,0.0,0.0
182-183,40,0,0,0,0,11886.0,0.0,0.0
183-184,40,2,252,0,0,6239.0,5.0,5.0
184-185,6,0,0,0,0,1719.0,0.0,0.0
185-186,0,0,0,0,0,0.0,0,0
186-187,0,0,0,0,0,0.0,0,0
187-188,0,0,0,0,0,0.0,0,0
188-189,229,3,4591,4,2979,85105.0,1.3100436681222707,3.056768558951965
189-190,28,0,0,4,264,10438.0,0.0,14.285714285714285
190-191,29,0,0,0,0,4225.0,0.0,0.0
191-192,46,0,0,1,74,9129.0,0.0,2.1739130434782608
192-193,70,0,0,0,0,15847.0,0.0,0.0
193-194,37,0,0,0,0,5897.0,0.0,0.0
194-195,35,0,0,0,0,5700.0,0.0,0.0
195-196,27,2,284,0,0,3414.0,7.4074074074074066,7.4074074074074066
196-197,13,0,0,0,0,2331.0,0.0,0.0
197-198,27,1,150,0,0,4208.0,3.7037037037037033,3.7037037037037033
198-199,6,0,0,0,0,1484.0,0.0,0.0
199-200,29,1,150,0,0,5569.0,3.4482758620689653,3.4482758620689653
200-201,7,0,0,0,0,1550.0,0.0,0.0
201-202,19,0,0,0,0,3110.0,0.0,0.0
202-203,10,0,0,0,0,1856.0,0.0,0.0
203-204,16,0,0,0,0,5667.0,0.0,0.0
204-205,31,0,0,0,0,5278.0,0.0,0.0
205-206,18,0,0,0,0,2813.0,0.0,0.0
206-207,7,0,0,0,0,1550.0,0.0,0.0
207-208,21,1,182,0,0,3158.0,4.761904761904762,4.761904761904762
208-209,21,0,0,0,0,2786.0,0.0,0.0
209-210,18,1,134,0,0,2616.0,5.555555555555555,5.555555555555555
210-211,18,0,0,0,0,3183.0,0.0,0.0
211-212,24,0,0,0,0,3207.0,0.0,0.0
212-213,15,0,0,0,0,2408.0,0.0,0.0
213-214,11,0,0,0,0,1966.0,0.0,0.0
214-215,9,0,0,0,0,2030.0,0.0,0.0
215-216,34,0,0,0,0,4809.0,0.0,0.0
216-217,25,0,0,0,0,4609.0,0.0,0.0
217-218,5,0,0,0,0,1374.0,0.0,0.0
218-219,22,0,0,0,0,3377.0,0.0,0.0
219-220,6,0,0,0,0,1440.0,0.0,0.0
220-221,17,0,0,0,0,6318.0,0.0,0.0
221-222,30,0,0,0,0,5263.0,0.0,0.0
222-223,28,1,142,0,0,6789.0,3.571428571428571,3.571428571428571
223-224,42,2,348,0,0,5947.0,4.761904761904762,4.761904761904762
224-225,42,0,0,0,0,7588.0,0.0,0.0
225-226,13,1,262,0,0,2098.0,7.6923076923076925,7.6923076923076925
226-227,25,1,190,0,0,3358.0,4.0,4.0
227-228,0,0,0,0,0,0.0,0,0
228-229,0,0,0,0,0,0.0,0,0
229-230,0,0,0,0,0,0.0,0,0
230-231,0,0,0,0,0,0.0,0,0
231-232,144,0,0,1,105,59731.0,0.0,0.6944444444444444
232-233,23,0,0,0,0,10532.0,0.0,0.0
233-234,40,0,0,3,198,8834.0,0.0,7.5
234-235,96,0,0,1,66,21520.0,0.0,1.0416666666666665
235-236,55,2,2932,0,0,31496.0,3.6363636363636362,3.6363636363636362
236-237,30,1,150,0,0,4293.0,3.3333333333333335,3.3333333333333335
237-238,33,2,300,0,0,4699.0,6.0606060606060606,6.0606060606060606
238-239,27,0,0,0,0,3500.0,0.0,0.0
239-240,45,1,198,0,0,6642.0,2.2222222222222223,2.2222222222222223
240-241,21,0,0,0,0,2922.0,0.0,0.0
